idx,pred,true
3483,0.4564196,0.49019608
3487,0.41589502,0.49019608
3509,0.4811437,0.48958334
3513,0.6207839,0.48951048
3517,0.546849,0.4893617
3538,0.43420908,0.4888393
3541,0.45498002,0.48870057
3543,0.51949483,0.48863637
3547,0.51463103,0.4883721
3554,0.5199729,0.48809522
3563,0.47949052,0.4878049
3570,0.41900876,0.4875
3572,0.49819058,0.4874582
3577,0.45056844,0.4871795
3597,0.47042307,0.4864865
3598,0.4318714,0.48638132
3615,0.42872116,0.485623
3617,0.5268518,0.48554912
3624,0.44183654,0.4852941
3631,0.47513747,0.48507464
3633,0.446155,0.48497853
3638,0.40020883,0.4848485
3639,0.5655453,0.4848485
3642,0.4586404,0.4848485
3645,0.5916378,0.4847397
3647,0.54824615,0.48453608
3662,0.41762608,0.48387095
3663,0.43026042,0.48387095
3676,0.5487814,0.48355263
3680,0.44922343,0.48341233
3687,0.5538037,0.48333332
3690,0.4637843,0.48314607
3699,0.5029346,0.4827586
3700,0.5062015,0.4827586
3702,0.4372492,0.4827586
3706,0.6293402,0.4827586
3708,0.5166491,0.4825986
3711,0.4725408,0.48255813
3712,0.46351078,0.48251748
3713,0.51255393,0.48245615
3716,0.48524275,0.48237884
3720,0.44555527,0.4822695
3722,0.5141418,0.48214287
3729,0.569831,0.481982
3739,0.3587676,0.4814815
3740,0.6092262,0.4814815
3760,0.4392441,0.4807074
3761,0.44939032,0.48065174
3783,0.42955363,0.48
3784,0.46036798,0.48
3789,0.42735383,0.48
3797,0.47711715,0.47961372
3803,0.42898756,0.47940075
3804,0.49752873,0.47933885
3806,0.43630433,0.47916666
3807,0.4399917,0.47916666
3810,0.52949536,0.47887325
3813,0.42824143,0.4787234
3816,0.50705636,0.47865167
3822,0.4395379,0.47826087
3823,0.69162786,0.47826087
3837,0.44885895,0.47826087
3851,0.47056353,0.477707
3852,0.4589199,0.477707
3862,0.5308924,0.4775281
3871,0.46133348,0.47727272
3873,0.38335478,0.47727272
3876,0.3776522,0.47727272
3879,0.45960832,0.47712418
3881,0.46932918,0.47706422
3892,0.42397967,0.47692308
3896,0.49837995,0.47668394
3897,0.45980224,0.47666666
3904,0.49397337,0.4764706
3905,0.49798632,0.4764706
3918,0.4605201,0.47619048
3921,0.49061733,0.47619048
3926,0.5063635,0.47619048
3928,0.48334283,0.47619048
3930,0.44614416,0.47601476
3932,0.44051725,0.47580644
3938,0.53524524,0.47560975
3942,0.40888673,0.47540984
3949,0.4212401,0.47524753
3951,0.38015,0.47514498
3957,0.52303755,0.4749164
3958,0.48398256,0.47482014
3962,0.49394047,0.4746377
3965,0.44820642,0.47457626
3974,0.51233566,0.47430497
3975,0.45145807,0.47428572
3976,0.48857728,0.47428572
3983,0.43719807,0.47368422
3984,0.5148679,0.47368422
3985,0.6446168,0.47368422
3986,0.44062087,0.47368422
3995,0.43534774,0.47368422
4004,0.46766073,0.47368422
4011,0.405977,0.47328818
4015,0.42946917,0.4732143
4016,0.43637145,0.47320694
4020,0.44965196,0.4730769
4022,0.5407144,0.47297296
4023,0.36401054,0.47297296
4027,0.48698267,0.47274086
4029,0.3869323,0.47272727
4035,0.38942236,0.47260273
4037,0.42478728,0.47257385
4044,0.4143635,0.4722222
4050,0.5349213,0.4722222
4052,0.487745,0.4722222
4059,0.4481142,0.472
4060,0.51595134,0.472
4071,0.51999617,0.47163695
4075,0.43922678,0.47145876
4079,0.47631198,0.47126436
4081,0.4119369,0.47107437
4083,0.5155977,0.47098976
4091,0.46216476,0.47058824
4094,0.47179717,0.47058824
4101,0.50606394,0.47058824
4103,0.5397165,0.47058824
4105,0.5234934,0.47058824
4119,0.4904208,0.47019866
4138,0.38052234,0.4695652
4139,0.4378179,0.46953404
4142,0.46395004,0.46938777
4146,0.46511668,0.46938777
4149,0.41957346,0.46938777
4152,0.5225135,0.46938777
4157,0.4443431,0.4691358
4159,0.47944483,0.4691358
4161,0.4660982,0.46906474
4166,0.37792373,0.46875
4170,0.46996966,0.4686347
4173,0.43550694,0.46859083
4177,0.5264671,0.46842784
4178,0.5320508,0.46842104
4179,0.5068301,0.4684015
4183,0.41287673,0.46835443
4192,0.46160296,0.4680307
4193,0.5039213,0.46797153
4198,0.49038398,0.4678899
4199,0.50025797,0.46781608
4209,0.47424027,0.4673913
4211,0.52245224,0.46728972
4222,0.45147222,0.46686748
4223,0.4529769,0.46666667
4227,0.5333879,0.46666667
4239,0.49455932,0.46666667
4253,0.5067308,0.46632123
4255,0.46088904,0.46629214
4272,0.37004334,0.46551725
4273,0.5173242,0.46551725
4279,0.44932395,0.46520147
4288,0.46623594,0.4651163
4295,0.4650274,0.465
4297,0.50291765,0.4649266
4299,0.4853359,0.4649123
4324,0.49762917,0.4642857
4325,0.43597567,0.4642857
4327,0.39246243,0.4642857
4329,0.42801228,0.46413502
4343,0.4126736,0.46370968
4345,0.55045736,0.46363637
4346,0.52304125,0.46357617
4349,0.4372705,0.46341464
4350,0.4182901,0.46341464
4356,0.43219078,0.46341464
4380,0.4221328,0.46268657
4385,0.3939721,0.4625
4387,0.41208208,0.4623431
4389,0.42380917,0.46226415
4392,0.40085647,0.4621038
4395,0.42845073,0.4620253
4396,0.48144966,0.4620253
4416,0.46998048,0.46153846
4418,0.43667078,0.46153846
4445,0.5047179,0.46078432
4452,0.51400506,0.46040517
4453,0.41959265,0.46031746
4460,0.44439507,0.460177
4465,0.43771595,0.46
