idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
1664,0.26925346,0.0,0,0,0.34254003
1669,2.6897178e-05,0.0,0,0,0.34254003
1682,0.81356,1.0,1,1,0.34254003
1684,0.46269676,0.0,0,1,0.34254003
1689,0.84092003,0.0,1,1,0.34254003
1692,0.017379459,0.0,0,0,0.34254003
1693,0.0012949192,0.0,0,0,0.34254003
1694,0.00080261915,0.0,0,0,0.34254003
1698,0.9853387,1.0,1,1,0.34254003
1700,0.7989158,0.0,1,1,0.34254003
1702,0.45660588,0.0,0,1,0.34254003
1708,0.0014950979,0.0,0,0,0.34254003
1710,0.008243342,0.0,0,0,0.34254003
1711,0.855613,1.0,1,1,0.34254003
1712,0.84374624,1.0,1,1,0.34254003
1714,0.0021384554,0.0,0,0,0.34254003
1715,0.0074726227,0.0,0,0,0.34254003
1734,0.0003337166,0.0,0,0,0.34254003
1737,0.9104873,0.0,1,1,0.34254003
1738,0.22073318,0.0,0,0,0.34254003
1746,0.0015803605,0.0,0,0,0.34254003
1750,0.025993085,0.0,0,0,0.34254003
1753,0.0015879462,0.0,0,0,0.34254003
1754,0.0815623,0.0,0,0,0.34254003
1756,0.052072365,0.0,0,0,0.34254003
1759,0.35519215,0.0,0,1,0.34254003
1775,0.011762213,0.0,0,0,0.34254003
1778,0.0005488785,0.0,0,0,0.34254003
1781,0.030149119,0.0,0,0,0.34254003
1788,0.00013688616,0.0,0,0,0.34254003
1789,6.248134e-05,0.0,0,0,0.34254003
1790,1.4864173e-05,0.0,0,0,0.34254003
1794,0.5240682,0.0,1,1,0.34254003
1798,0.0002021699,0.0,0,0,0.34254003
1801,0.7660677,0.0,1,1,0.34254003
1807,0.043467052,0.0,0,0,0.34254003
1809,0.35035217,0.0,0,1,0.34254003
1823,0.046159793,0.0,0,0,0.34254003
